City,Client ID,Client Name,Number of Records,Order ID,Zip Code,Goods Category,Goods Name,Goods Sub-Category,Profit,Region,Row ID,Office City Sales,State
Flint,2072,Malcolm S Lanier,1,88556,48505,Office Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,1307.2692,Central,20824,3377.06,Michigan
Pontiac,3000,Priscilla Allen,1,87053,48342,Office Furniture,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Bookcases,-1041.6864,Central,21498,1174.38,Michigan
Muskegon,2995,Carol T Pitts,1,88915,49442,Office Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-144.87,Central,20087,215.93,Michigan
East Lansing,1976,Sherri F Vogel,1,89039,48823,Office Furniture,"Hon Metal Bookcases, Putty",Bookcases,-850.6524,Central,25731,551.51,Michigan
Detroit,373,Jeanne Werner,1,24193,48234,Office Furniture,O'Sullivan Living Dimensions 3-Shelf Bookcases,Bookcases,-163.63,Central,3392,9539.6,Michigan
Midland,2792,Emma Copeland,1,88765,48640,Office Furniture,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Bookcases,-14.43456,Central,23180,1055.51,Michigan
Trenton,3157,Bernard Boyette,1,86905,48183,Office Furniture,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Bookcases,-776.2896,Central,24999,478.8,Michigan
Royal Oak,1961,Jacqueline McMahon,1,88859,48073,Office Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,-227.9,Central,18743,1075.35,Michigan
Prior Lake,1707,Rebecca Frazier Foley,1,88789,55372,Office Furniture,"Bush Cubix Collection Bookcases, Fully Assembled",Bookcases,-364.9536,Central,18714,236.35,Minnesota
Saint Louis Park,503,Jeanne Woodruff,1,91009,55416,Office Furniture,Bush Mission Pointe Library,Bookcases,-345.92,Central,20545,1468.97,Minnesota
Owatonna,3179,Marie Pittman,1,86993,55060,Office Furniture,Hon 4-Shelf Metal Bookcases,Bookcases,505.38,Central,18206,1796.21,Minnesota
Mankato,2896,Anna Ellis,1,86932,56001,Office Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases,-305.98,Central,18193,1291.37,Minnesota
Mankato,2896,Anna Ellis,1,86925,56001,Office Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,4861.0638,Central,19909,7045.02,Minnesota
Inver Grove Heights,2833,Tim Connolly,1,91030,55076,Office Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,-221.5,Central,20594,608.81,Minnesota
Richfield,3181,Herbert Cline,1,86991,55423,Office Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,64.060000000,Central,25852,978.97,Minnesota
Gladstone,2131,Mary Hewitt,1,90079,64118,Office Furniture,Bush Mission Pointe Library,Bookcases,-407.85,Central,21902,302.34,Missouri
Ozark,1492,Don Beard,1,88005,65721,Office Furniture,"Hon Metal Bookcases, Black",Bookcases,-86.99,Central,18997,224.48,Missouri
Joplin,2264,Helen Dickerson,1,86614,64804,Office Furniture,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Bookcases,-1508.46,Central,19068,1561.65,Missouri
Springfield,1442,Rodney Field,1,89078,65807,Office Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases,-484.64,Central,22637,767.92,Missouri
North Platte,2061,Marianne Carey,1,87146,69101,Office Furniture,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Bookcases,-272.7132,Central,20841,260.66,Nebraska
Columbus,1466,Wesley Reid,1,91116,68601,Office Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases,-723.784,Central,25917,1781.66,Nebraska
Norfolk,445,Judy Barrett,1,88084,68701,Office Furniture,O'Sullivan Living Dimensions 3-Shelf Bookcases,Bookcases,-512.872,Central,23862,1766.68,Nebraska
Ponca City,2783,Caroline Duffy,1,86988,74601,Office Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-120.85,Central,18205,1323.75,Oklahoma
Mustang,877,Christian Branch,1,91385,73064,Office Furniture,"Hon Metal Bookcases, Black",Bookcases,-175.5176,Central,26068,945.28,Oklahoma
Stillwater,2785,George Shields,1,86982,74074,Office Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,1034.54,Central,24383,4352.04,Oklahoma
Pharr,3162,Melvin Willis,1,87103,78577,Office Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,98.75,Central,18392,960.9,Texas
Allen,826,Ronnie Shaffer,1,89265,75002,Office Furniture,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Bookcases,-284.9396,Central,24237,1029.34,Texas
Amarillo,885,Malcolm Robertson,1,89561,79109,Office Furniture,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Bookcases,-432.54,Central,19285,934.74,Texas
Austin,887,Cindy Hinton,1,89557,78745,Office Furniture,Bush Mission Pointe Library,Bookcases,-13.014044,Central,22931,38.54,Texas
Lufkin,1368,Patsy Harmon,1,90518,75901,Office Furniture,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-68.16,Central,24461,131.27,Texas
Beaumont,889,Elsie G Ferguson,1,89547,77705,Office Furniture,"Hon Metal Bookcases, Putty",Bookcases,44.060000000,Central,25315,220.98,Texas
Deer Park,245,Julie Pruitt,1,86719,77536,Office Furniture,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Bookcases,-1481.1264,Central,20057,1046.04,Texas
Dallas,563,Marjorie Pope,1,14819,75081,Office Furniture,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases,-765.152,Central,2071,1584.1,Texas
Plano,3163,Lorraine Lamb,1,87099,75023,Office Furniture,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases,-203.9,Central,20101,189.94,Texas
Rosenberg,61,Charlotte Stanton,1,87409,77471,Office Furniture,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Bookcases,185.266,Central,22867,2292.34,Texas
Baytown,888,Phyllis Adcock,1,89559,77520,Office Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases,-565.2204,Central,22992,2425.52,Texas
Pasadena,3141,Jerome McIntosh,1,86370,77506,Office Furniture,O'Sullivan Living Dimensions 2-Shelf Bookcases,Bookcases,-1430.836,Central,18101,1259.92,Texas
Wichita Falls,1358,Eleanor Barbour,1,88186,76308,Office Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,-1128.66,Central,22155,907.41,Texas
Leander,1245,Jimmy Strauss,1,88424,78641,Office Furniture,Rush Hierlooms Collection Rich Wood Bookcases,Bookcases,-252.01,Central,24359,325.17,Texas
Port Arthur,3184,Irene Conway,1,90693,77642,Office Furniture,Rush Hierlooms Collection Rich Wood Bookcases,Bookcases,436.8988,Central,22208,3219.68,Texas
Cedar Park,1253,Vickie Coates,1,89981,78613,Office Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,-373.09,Central,19323,699.24,Texas
Wauwatosa,3359,Jeffrey Cheng,1,91441,53213,Office Furniture,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Bookcases,16.562,Central,22287,1508.18,Wisconsin
Franklin,2332,Marguerite Norton,1,89616,53132,Office Furniture,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Bookcases,324.72,Central,19432,4375.13,Wisconsin
Freeport,1792,Curtis C Andrews,1,87857,61032,Office Furniture,Bevis Steel Folding Chairs,Chairs & Chairmats,-1766.01,Central,18406,1184.82,Illinois
Glendale Heights,2342,Danny Francis Bell,1,88997,60139,Office Furniture,Global Comet™ Stacking Armless Chair,Chairs & Chairmats,1975.43808,Central,22390,6158.41,Illinois
Glenview,2343,Francis Goldberg,1,88995,60025,Office Furniture,Global Deluxe High-Back Office Chair in Storm,Chairs & Chairmats,-77.8464,Central,24402,448.97,Illinois
Downers Grove,1514,Gregory Bridges,1,90467,60516,Office Furniture,"Global Deluxe Stacking Chair, Gray",Chairs & Chairmats,149.83,Central,23675,366.96,Illinois
Glenview,2343,Francis Goldberg,1,88994,60025,Office Furniture,"Global Deluxe Stacking Chair, Gray",Chairs & Chairmats,12.46848,Central,26295,298.97,Illinois
Elk Grove Village,1687,Ernest Dawson,1,86975,60007,Office Furniture,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Chairs & Chairmats,-82.6436,Central,19806,2509.33,Illinois
Highland Park,2409,Florence Wilder,1,85819,60035,Office Furniture,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Chairs & Chairmats,-541.87,Central,20384,776,Illinois
Mundelein,3132,Anita Kang,1,86790,60060,Office Furniture,Global Ergonomic Managers Chair,Chairs & Chairmats,-64.664,Central,20483,519.42,Illinois
Chicago,1402,Wesley Tate,1,12129,60653,Office Furniture,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,-1197.58,Central,1681,9704.1,Illinois
Galesburg,1793,Derek Jernigan,1,87855,61401,Office Furniture,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,-1580.208,Central,23569,2057.94,Illinois
Tinley Park,303,Bill Bowers Li,1,86134,60477,Office Furniture,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,-1775.83,Central,23746,1068.45,Illinois
Country Club Hills,1503,Leo Riley,1,89197,60478,Office Furniture,"Global Leather and Oak Executive Chair, Black",Chairs & Chairmats,1010.655,Central,26197,3464.94,Illinois
Mundelein,3132,Anita Kang,1,86800,60060,Office Furniture,"Global Leather and Oak Executive Chair, Black",Chairs & Chairmats,-139.5472,Central,19154,633.36,Illinois
Vernon Hills,540,Ruth Lamm,1,91179,60061,Office Furniture,"Global Leather and Oak Executive Chair, Black",Chairs & Chairmats,-70.2144,Central,25716,368.66,Illinois
Chicago,962,Yvonne Clarke,1,24610,60610,Office Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Chairs & Chairmats,-127.936,Central,3451,883.31,Illinois
Gurnee,2378,Edith Norton,1,91327,60031,Office Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Chairs & Chairmats,2327.8428,Central,24009,3841.13,Illinois
Chicago,2403,Kara Gregory,1,3905,60699,Office Furniture,"Global Push Button Manager's Chair, Indigo",Chairs & Chairmats,-377.25,Central,573,4713.21,Illinois
Oswego,558,Lucy Pennington,1,91156,60543,Office Furniture,"Global Stack Chair without Arms, Black",Chairs & Chairmats,-190.41,Central,20782,382.23,Illinois
Carbondale,1135,Daniel Webb Stephens,1,87942,62901,Office Furniture,Global Troy™ Executive Leather Low-Back Tilter,Chairs & Chairmats,4580.0682,Central,18440,6637.78,Illinois
Country Club Hills,1503,Leo Riley,1,89197,60478,Office Furniture,Global Troy™ Executive Leather Low-Back Tilter,Chairs & Chairmats,3783.8082,Central,26198,5483.78,Illinois
Glendale Heights,2342,Danny Francis Bell,1,88997,60139,Office Furniture,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,152.35904,Central,22391,891.61,Illinois
Elmhurst,1769,Judith French,1,89111,60126,Office Furniture,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Chairs & Chairmats,2825.15,Central,19299,6426.13,Illinois
Kankakee,2499,Geoffrey Koch,1,88319,60901,Office Furniture,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,1240.25,Central,20296,2814.57,Illinois
Freeport,1792,Curtis C Andrews,1,87854,61032,Office Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,678.26,Central,20129,1279.27,Illinois
Carpentersville,1250,Kara Patton,1,87877,60110,Office Furniture,Hon Every-Day® Chair Series Swivel Task Chairs,Chairs & Chairmats,74.0048,Central,18414,2508.15,Illinois
Carpentersville,1250,Kara Patton,1,87879,60110,Office Furniture,Hon GuestStacker Chair,Chairs & Chairmats,1581.3504,Central,19745,2478.35,Illinois
Mundelein,3132,Anita Kang,1,86804,60060,Office Furniture,Hon Multipurpose Stacking Arm Chairs,Chairs & Chairmats,212.004,Central,21478,3689.46,Illinois
Mundelein,3132,Anita Kang,1,86804,60060,Office Furniture,Hon Olson Stacker Stools,Chairs & Chairmats,904.332,Central,21479,1445.68,Illinois
Park Ridge,572,Nancy White,1,86562,60068,Office Furniture,Hon Olson Stacker Stools,Chairs & Chairmats,-3.352,Central,21666,301.98,Illinois
Crystal Lake,3396,Stuart Wiley,1,87542,60014,Office Furniture,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,3480.222,Central,19371,5043.8,Illinois
Woodstock,1648,Nina Bowles,1,91047,60098,Office Furniture,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,2822.9763,Central,23599,4091.27,Illinois
Oak Lawn,221,Colleen Wilcox,1,87233,60453,Office Furniture,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,-101.912,Central,21643,289.36,Illinois
Chicago,1402,Wesley Tate,1,48452,60653,Office Furniture,Novimex Fabric Task Chair,Chairs & Chairmats,-706.68,Central,6797,3369.46,Illinois
Batavia,326,Brenda May,1,90976,60510,Office Furniture,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Chairs & Chairmats,-218.07168,Central,20487,1719.45,Illinois
Chicago,962,Yvonne Clarke,1,58433,60610,Office Furniture,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Chairs & Chairmats,-45.02,Central,8173,2755.34,Illinois
Chicago,94,Eddie House Mueller,1,44231,60601,Office Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Chairs & Chairmats,116.1,Central,6243,6276.34,Illinois
Crystal Lake,3396,Stuart Wiley,1,87541,60014,Office Furniture,SAFCO Arco Folding Chair,Chairs & Chairmats,2206.689,Central,18988,3198.1,Illinois
Tinley Park,50,Dawn Bailey,1,87710,60477,Office Furniture,SAFCO Arco Folding Chair,Chairs & Chairmats,1585.0887,Central,23945,2297.23,Illinois
West Lafayette,1778,Ray Oakley,1,89953,47906,Office Furniture,Bevis Steel Folding Chairs,Chairs & Chairmats,-1207.18,Central,25493,973.14,Indiana
La Porte,2666,Christopher Horner,1,87838,46350,Office Furniture,"Global Deluxe Stacking Chair, Gray",Chairs & Chairmats,199.95,Central,23922,886.93,Indiana
Jeffersonville,1417,Dorothy Huff,1,90542,47130,Office Furniture,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,-1086.43,Central,20363,902.21,Indiana
Jeffersonville,1433,Frances Jackson,1,86828,47130,Office Furniture,"Global Leather and Oak Executive Chair, Black",Chairs & Chairmats,1399.64,Central,20124,4285.56,Indiana
West Lafayette,1778,Ray Oakley,1,89953,47906,Office Furniture,"Global Leather and Oak Executive Chair, Black",Chairs & Chairmats,1261.44,Central,25494,2720.64,Indiana
New Albany,1512,Lawrence Koch,1,90304,47150,Office Furniture,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Chairs & Chairmats,-635.65,Central,26001,1087.32,Indiana
Merrillville,1464,Evelyn Galloway,1,86398,46410,Office Furniture,Hon GuestStacker Chair,Chairs & Chairmats,933.5355,Central,26185,1352.95,Indiana
Vincennes,1281,Pauline Denton,1,89117,47591,Office Furniture,Hon Multipurpose Stacking Arm Chairs,Chairs & Chairmats,2615.80704,Central,24059,8843.52,Indiana
Columbus,597,Alexandra Wise,1,86321,47201,Office Furniture,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Chairs & Chairmats,-210.14,Central,25713,412.08,Indiana
West Lafayette,1778,Ray Oakley,1,89950,47906,Office Furniture,Office Star Flex Back Scooter Chair with White Frame,Chairs & Chairmats,-157.63,Central,23760,1011.33,Indiana
Vincennes,1281,Pauline Denton,1,89112,47591,Office Furniture,Safco Contoured Stacking Chairs,Chairs & Chairmats,875.2844,Central,22125,1774.5,Indiana
Merrillville,1486,Stacy Barbour,1,86474,46410,Office Furniture,SAFCO Folding Chair Trolley,Chairs & Chairmats,1643.7801,Central,18719,2382.29,Indiana
Marion,2330,Kara Foster,1,90972,52302,Office Furniture,Bevis Steel Folding Chairs,Chairs & Chairmats,-1115.99,Central,25862,1702.78,Iowa
Dubuque,2151,Melinda Rogers,1,90404,52001,Office Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,-162.8244,Central,22555,248.84,Iowa
Muscatine,1360,Arlene Gibbons,1,89598,52761,Office Furniture,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,-270,Central,19083,724.61,Iowa
Muscatine,1360,Arlene Gibbons,1,89597,52761,Office Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Chairs & Chairmats,-150.2,Central,20005,326.72,Iowa
Marshalltown,2794,Connie Bunn,1,87557,50158,Office Furniture,Office Star - Task Chair with Contemporary Loop Arms,Chairs & Chairmats,205.83,Central,18333,1120.94,Iowa
Sioux City,2796,Cindy McLeod,1,87558,51106,Office Furniture,Office Star Flex Back Scooter Chair with White Frame,Chairs & Chairmats,161.9568,Central,25235,2575.93,Iowa
Liberal,2046,Eileen Schwartz,1,88226,67901,Office Furniture,Global Commerce™ Series High-Back Swivel/Tilt Chairs,Chairs & Chairmats,1063.46,Central,22727,4983.05,Kansas
Leavenworth,3045,Jordan Beard,1,86117,66048,Office Furniture,Global Ergonomic Managers Chair,Chairs & Chairmats,-70.88592,Central,21474,366.61,Kansas
Newton,1675,Elizabeth Herman,1,89491,67114,Office Furniture,"Global Leather and Oak Executive Chair, Black",Chairs & Chairmats,1512.07,Central,23745,2936.8,Kansas
Hays,2951,Jordan Womble,1,91397,67601,Office Furniture,"Global Leather Task Chair, Black",Chairs & Chairmats,-230.9528,Central,25052,1809.75,Kansas
Olathe,180,Harold Briggs,1,90784,66062,Office Furniture,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,2004.43936,Central,23315,5731.02,Kansas
Hutchinson,3042,Tara Gold,1,86110,67501,Office Furniture,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,78.9108,Central,19395,1350.94,Kansas
Topeka,287,Bruce Norton,1,89764,66614,Office Furniture,Hon Comfortask® Task/Swivel Chairs,Chairs & Chairmats,-139.6488,Central,23019,680.71,Kansas
Leawood,3046,Andrew Pearce,1,86103,66209,Office Furniture,Hon Every-Day® Chair Series Swivel Task Chairs,Chairs & Chairmats,-78.7592,Central,24415,251.06,Kansas
Lawrence,3044,Alfred F Dixon,1,86111,66044,Office Furniture,Hon Olson Stacker Stools,Chairs & Chairmats,-164.59,Central,21369,143.76,Kansas
Wichita,288,Patricia Cole Blair,1,89769,67212,Office Furniture,Novimex Turbo Task Chair,Chairs & Chairmats,-394.40352,Central,24893,796.89,Kansas
Hutchinson,3042,Tara Gold,1,86110,67501,Office Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Chairs & Chairmats,-121.892,Central,19396,192.49,Kansas
Manhattan,97,Max McKenna,1,87306,66502,Office Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Chairs & Chairmats,255.42,Central,24243,1526.68,Kansas
Wichita,506,Teresa Boyette,1,87362,67212,Office Furniture,SAFCO Arco Folding Chair,Chairs & Chairmats,67.84,Central,18280,535.53,Kansas
Walker,1731,Craig Bryan,1,90656,49534,Office Furniture,Global Enterprise™ Series Seating Low-Back Swivel/Tilt Chairs,Chairs & Chairmats,2820.44,Central,19936,6357.11,Michigan
Ann Arbor,1404,Clara Bullock,1,86152,48104,Office Furniture,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,-402.38688,Central,19681,2426.03,Michigan
Burton,391,Suzanne Shannon,1,86387,48509,Office Furniture,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,256.848,Central,23866,3135.27,Michigan
Royal Oak,1961,Jacqueline McMahon,1,88861,48073,Office Furniture,"Global Leather & Oak Executive Chair, Burgundy",Chairs & Chairmats,-506.43,Central,21347,473.34,Michigan
Eastpointe,2023,Dan George,1,90762,48021,Office Furniture,"Global Leather Task Chair, Black",Chairs & Chairmats,-821.87,Central,20037,1736.1,Michigan
Pontiac,3000,Priscilla Allen,1,87050,48342,Office Furniture,"Global Leather Task Chair, Black",Chairs & Chairmats,-304.47,Central,22485,367.27,Michigan
Eastpointe,2023,Dan George,1,90763,48021,Office Furniture,"Global Stack Chair without Arms, Black",Chairs & Chairmats,-124.42,Central,25685,158.99,Michigan
Garden City,2073,Evan Kelley,1,88557,48135,Office Furniture,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,550.3808,Central,24677,1818.41,Michigan
Port Huron,3327,Bob Gibson,1,87272,48060,Office Furniture,Hon Comfortask® Task/Swivel Chairs,Chairs & Chairmats,-127.3,Central,18259,356.14,Michigan
Bay City,1427,Stacy Gould,1,90906,48708,Office Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,3064.51,Central,24683,5533.41,Michigan
Oak Park,2999,Kim McCarthy,1,87046,48237,Office Furniture,Hon Olson Stacker Stools,Chairs & Chairmats,30.89,Central,19221,441.43,Michigan
Westland,2159,Wesley Field,1,90390,48185,Office Furniture,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,-44.32,Central,22239,69.45,Michigan
Battle Creek,1405,Crystal Floyd,1,86146,49017,Office Furniture,Novimex Fabric Task Chair,Chairs & Chairmats,-636.012,Central,24797,813.32,Michigan
Sault Sainte Marie,2466,Gilbert Godfrey,1,88149,49783,Office Furniture,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Chairs & Chairmats,366.86128,Central,22581,1861.78,Michigan
Canton,1816,Danielle Schneider,1,86000,48187,Office Furniture,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Chairs & Chairmats,835.64928,Central,20887,2208.6,Michigan
Hopkins,1522,Earl Watts,1,89957,55305,Office Furniture,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,-899.675,Central,23471,2026.91,Minnesota
Shoreview,868,Sharon Ellis,1,91198,55126,Office Furniture,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,-1965.7272,Central,24762,2696.59,Minnesota
Savage,645,Jessie Pugh,1,90737,55378,Office Furniture,"Global Leather & Oak Executive Chair, Burgundy",Chairs & Chairmats,-1298.0072,Central,20952,1551,Minnesota
Brooklyn Center,2202,Laurie Howe,1,86059,55429,Office Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Chairs & Chairmats,166.336,Central,22090,1133.35,Minnesota
Apple Valley,2161,Judith Wallace,1,90391,55124,Office Furniture,Hon Comfortask® Task/Swivel Chairs,Chairs & Chairmats,-125.4756,Central,24944,468.39,Minnesota
Oakdale,3069,Tiffany Merrill,1,88191,55128,Office Furniture,Hon Every-Day® Chair Series Swivel Task Chairs,Chairs & Chairmats,638.028,Central,21027,1894.45,Minnesota
